**harm,**harte,**timestamp,**phrase,**leadinstrument,**kern,**silbe,**kern_2,**silbe_2,**rhyme,**valence,**arousal,**rms,**kern_3,**silbe_3,**kern_4,**silbe_4,**kern_5,**silbe_5
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,,,,
1I,G:maj,3,newline,voice,4b,can't,,,.,62 63 60 63,62 58 60 60,66.376,,,,,,
1I,G:maj,4.355,.,voice,8d,buff-,,,.,71 63 60 63,61 58 60 0,70.505,,,,,,
1V7,D:7,5.709,.,voice,4d,can't,,,.,77 63 60 63,61 63 60 0,63.863,,,,,,
1V7,D:7,7.064,.,voice,8a,buff-,,,.,77 63 60 63,69 81 60 6,68.022,,,,,,
1I,G:maj,8.419,newline,voice,4b,can't,,,.,77 63 60 63,70 85 60 8,65.197,,,,,,
1I,G:maj,9.783,.,voice,8d,buff-,,,.,77 79 60 63,68 85 60 8,69.534,,,,,,
1V7,D:7,11.148,.,voice,8d,you,,,.,77 81 60 63,63 88 60 11,66.571,,,,,,
1I,N,12.512,.,voice,8d],_,,,.,77 85 60 63,62 92 60 11,68.023,,,,,,
1I,G:maj,13.877,newline,voice,4b,can't,,,.,77 85 60 63,61 92 60 0,67.472,,,,,,
1I,G:maj,15.185,.,voice,8d],_,,,.,77 87 60 63,50 77 60 0,66.099,,,,,,
1V7,D:7,16.493,.,voice,4d,can't,,,.,77 87 60 63,67 90 60 21,62.658,,,,,,
1V7,D:7,17.801,.,voice,8a,par-,,,.,77 90 60 63,70 93 60 23,70.927,,,,,,
1I,G:maj,19.109,newline,voice,4b,can't,,,.,77 91 60 63,71 93 60 23,67.543,,,,,,
1I,G:maj,20.471,.,voice,8e,par-,,,.,77 94 60 63,72 93 60 23,69.204,,,,,,
1V7,D:7,21.833,.,voice,8d,you,,,.,77 95 60 63,73 93 60 23,68.254,,,,,,
1I,N,23.195,.,voice,8f#],_,,,.,77 95 60 63,72 93 60 23,70.076,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,,,,
1IV,C:maj,24.557,newline,voice,8g,_,,,.,77 94 60 63,53 82 60 0,80.109,,,,,,
1I,G:maj,25.884,.,voice,8g,put,,,.,77 93 60 63,51 77 60 0,69.805,,,,,,
1II7,A:7,27.21,.,voice,8a,knuck-,,,(B,77 93 60 63,72 87 60 26,70.905,,,,,,
1V7,D:7,28.537,.,voice,16c#,do,,,.,77 92 60 63,74 93 60 26,74.384,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,,,,
1I,G:maj,29.863,newline,voice,4b,can't,,,.,77 92 60 63,73 93 60 26,76.298,,,,,,
1I,G:maj,31.219,.,voice,4d,base-,,,.,77 92 58 63,70 89 60 0,74.883,,,,,,
1V7,D:7,32.575,.,voice,4d,can't,,,.,77 92 53 63,74 94 60 29,72.1,,,,,,
1V7,D:7,33.931,.,voice,4a,base-,,,.,77 93 52 63,75 94 60 29,72.169,,,,,,
1I,G:maj,35.287,newline,voice,4b,can't,,,.,77 94 50 63,74 94 60 29,70.581,,,,,,
1I,G:maj,36.616,.,voice,4d,base-,,,.,77 96 47 63,74 94 60 29,69.966,,,,,,
1V7,D:7,37.944,.,voice,8d,you,,,.,77 96 47 63,72 94 60 29,72.693,,,,,,
1I,N,39.273,.,voice,8f#],_,,,.,85 96 45 63,76 94 60 29,68.857,,,,,,
*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,,,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,,,,,,
*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,,,*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,,,,,,
2V7,D:7,50.034,.,voice,2r,.,,,.,86 97 44 63,70 86 60 28,75.593,,,,,,
1I,G:maj,52.046,.,voice,2r,.,,,.,86 99 45 63,67 86 60 29,79.307,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,,,,
1I,G:maj,53.386,newline,voice,4b,can't,,,.,86 100 47 63,73 86 60 30,73.892,,,,,,
1I,G:maj,54.73,.,voice,8d,kid,,,.,86 101 60 63,74 86 60 33,71.844,,,,,,
1V7,D:7,56.073,.,voice,4d,can't,,,.,86 94 65 63,53 86 60 27,66.408,,,,,,
1V7,D:7,57.416,.,voice,8a,kid,,,.,86 101 72 63,50 86 60 23,70.025,,,,,,
1I,G:maj,58.759,newline,voice,4b,can't,,,.,86 100 81 63,68 86 60 22,65.659,,,,,,
1I,G:maj,60.124,.,voice,8d,kid,,,.,86 100 82 63,70 86 60 23,71.696,,,,,,
1V7,D:7,61.488,.,voice,8d,you,,,.,86 102 85 63,70 86 60 36,66.365,,,,,,
1I,N,62.852,.,voice,8d],_,,,.,86 98 85 63,71 86 60 36,77.271,,,,,,
1I,G:maj,64.217,newline,voice,4b,can't,,,.,86 99 85 63,45 83 60 0,74.062,,,,,,
1I,G:maj,65.528,.,voice,8d,tig-,,,.,86 99 85 63,41 76 60 0,71.139,,,,,,
1V7,D:7,66.84,.,voice,4d,can't,,,.,86 97 85 63,71 89 60 31,75.036,,,,,,
1V7,D:7,68.151,.,voice,8a,tig-,,,.,86 99 85 63,74 98 60 37,75.115,,,,,,
1I,G:maj,69.463,newline,voice,4dd,can't,,,.,86 99 85 63,72 97 60 37,74.042,,,,,,
1I,G:maj,70.862,.,voice,8g,tig-,,,.,86 99 85 63,72 97 60 37,73.033,,,,,,
1V7,D:7,72.262,.,voice,8d,you,,,.,86 98 85 63,73 97 60 37,74.925,,,,,,
1I,N,73.661,.,voice,8f#],_,,,.,86 99 85 63,73 97 60 37,82.378,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,,,,
1IV,C:maj,75.061,newline,voice,8g,_,,,.,86 99 85 63,44 89 60 0,76.348,,,,,,
1I,G:maj,76.376,.,voice,8g,put,,,.,86 99 85 63,42 84 60 0,72.017,,,,,,
1II7,A:7,77.69,.,voice,8a,knuck-,,,(B,86 99 85 63,67 87 60 38,68.705,,,,,,
1V7,D:7,79.005,.,voice,16c#,do,,,.,86 99 85 63,81 98 60 43,76.749,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,,,,
1I,G:maj,80.32,newline,voice,4b,can't,,,.,86 99 85 63,85 98 60 42,76.92,,,,,,
1I,G:maj,81.666,.,voice,8d,buff-,,,.,86 99 85 63,43 96 60 51,75.794,,,,,,
1V7,D:7,83.013,.,voice,4d,can't,,,.,86 99 85 63,77 96 60 34,72.973,,,,,,
1V7,D:7,84.359,.,voice,8a,buff-,,,.,86 102 85 63,78 96 60 34,77.098,,,,,,
1I,G:maj,85.705,newline,voice,4b,can't,,,.,86 102 85 63,67 96 60 34,74.95,,,,,,
1I,G:maj,87.071,.,voice,8d,buff-,,,.,86 102 85 63,76 96 60 34,74.839,,,,,,
1V7,D:7,88.437,.,voice,8d,you,,,.,86 102 85 63,78 96 60 34,74.718,,,,,,
1I,N,89.802,.,voice,8d],_,,,.,86 102 85 63,81 96 60 34,61.303,,,,,,
1I,G:maj,91.168,newline,voice,4b,can't,,,.,86 102 85 63,51 93 60 0,75.377,,,,,,
1I,G:maj,92.494,.,voice,8d,wat-,,,.,86 102 85 63,43 83 60 0,69.659,,,,,,
1V7,D:7,93.819,.,voice,4d,can't,,,.,86 102 85 63,76 81 60 3,73.611,,,,,,
1V7,D:7,95.144,.,voice,8a,wat-,,,.,86 102 85 63,78 95 60 36,75.482,,,,,,
1I,G:maj,96.47,newline,voice,4b,can't,,,.,86 102 85 63,75 99 60 36,72.799,,,,,,
1I,G:maj,97.835,.,voice,8d,wat-,,,.,86 102 85 63,79 97 60 37,73.136,,,,,,
1V7,D:7,99.2,.,voice,8d,you,,,.,86 102 85 63,78 97 60 37,73.366,,,,,,
1I,N,100.565,.,voice,8f#],_,,,.,86 102 85 63,78 97 60 37,73.107,,,,,,
1I,G:maj,101.93,newline,voice,4b,can't,,,.,86 101 85 63,60 95 60 37,68.083,,,,,,
1I,G:maj,103.277,.,voice,8g,buff-,,,.,86 104 85 63,43 86 60 0,70.063,,,,,,
1V7,D:7,104.625,.,voice,4g,can't,,,.,86 104 85 63,75 86 60 32,71.702,,,,,,
1V7,D:7,105.972,.,voice,8cc,buff-,,,.,86 104 85 63,78 92 60 32,73.185,,,,,,
1I,G:maj,107.151,newline,voice,4b,can't,,,.,86 103 76 63,76 96 60 32,68.738,,,,,,
1I,G:maj,.,.,voice,8g,buff-,,,.,86 103 76 63,76 96 60 32,67.607,,,,,,
1V7,D:7,.,.,voice,8d,you,,,.,86 103 76 63,76 96 60 32,67.49,,,,,,
1I,G:maj,.,.,voice,8d],_,,,.,86 103 76 63,76 96 60 32,67.698,,,,,,
1r;,N,107.319,.,r,r;,.,,,.,86 103 76 63,76 96 60 32,64.671,,,,,,
1r;,N,112.28,.,r,r;,.,,,.,112.5,112.5,-100,,,,,,
1r;,N,0,.,r,r;,.,,,.,111 22 95 39,13 66 60 98,-6.004,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,,,,
*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,,,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,,,,,,
1I,D-:maj,2.737,.,guitar,2r,.,,,.,61 73 63 60,63 93 61 116,70.465,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,,,,
1I,D-:maj,3.931,newline,voice,8f],_,,,.,61 97 63 63,63 93 85 64,75.466,,,,,,
1I,D-:maj,5.114,.,voice,2f,I,,,.,87 97 78 70,84 69 85 64,77.296,,,,,,
1V,A-:maj,6.297,.,voice,8a-],_,,,.,109 92 79 75,85 69 93 64,78.816,,,,,,
1V,A-:maj,7.48,.,voice,2r,.,,,.,109 28 79 80,85 77 102 64,73.776,,,,,,
1V,A-:maj,8.663,newline,voice,8g-],_,,,.,108 28 79 82,82 83 90 64,77.605,,,,,,
1V,A-:maj,9.808,.,voice,4a-,locked,,,.,106 42 79 82,35 83 90 64,78.105,,,,,,
1I,D-:maj,10.954,.,voice,2d-],_,,,.,106 42 79 82,35 83 90 64,73.132,,,,,,
1I,D-:maj,12.099,.,voice,2r,.,,,.,106 42 79 82,35 83 93 64,72.202,,,,,,
1I,D-:maj,13.245,newline,voice,8f],_,,,.,106 42 79 82,35 90 92 64,75.195,,,,,,
1I,D-:maj,14.408,.,voice,2f,trial,,,.,106 31 79 82,26 90 92 64,69.965,,,,,,
1V,A-:maj,15.572,.,voice,8a-],_,,,.,106 28 79 82,26 93 92 64,77.28,,,,,,
1V,A-:maj,16.736,.,voice,2r,.,,,.,106 28 79 82,26 93 92 64,71.998,,,,,,
1V,A-:maj,17.899,newline,voice,4g-],_,,,.,106 43 79 82,26 93 92 64,76.532,,,,,,
1V,A-:maj,19.046,.,voice,4g-,guil-,,,.,106 91 79 82,26 94 92 64,77.953,,,,,,
1V,A-:maj,20.193,.,voice,4a-],_,,,.,106 91 79 82,26 94 92 64,76.793,,,,,,
1I,D-:maj,21.339,.,voice,4d-],_,,,.,106 91 79 82,26 94 92 64,75.842,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,,,,
