**harm,**harte,**harm_2,**harte_2,**kern,**silbe,**stress,**timestamp,**duration
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
IV,E-:maj,IV,E-:maj,B-,_,.,9.673,1
I,B-:maj,I,B-:maj,d-,true,1,11.659,1
V,F:maj,V,F:maj,e-,star-,1,13.682,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
I,B-:maj,I,B-:maj,d-,true,1,36.015,1
V,F:maj,V,F:maj,e-,star-,1,38.060,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
I,B-:maj,I,B-:maj,d-,true,1,60.514,1
V,F:maj,V,F:maj,e-,star-,1,62.561,1
I,B-:maj,I,B-:maj,B-,_,.,64.620,1
*>Solo,*>Solo,*>Solo,*>Solo,*>Solo,*>Solo,*>Solo,*>Solo,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
I,B-:maj,I,B-:maj,d-,true,1,97.079,1
V,F:maj,V,F:maj,e-,star-,1,99.175,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
IV,E-:maj,IV,E-:maj,c,-ne,2,119.816,1
I,B-:maj,I,B-:maj,d-,true,1,121.878,1
V,F:maj,V,F:maj,e-,star-,1,123.937,1
*>Outro,*>Outro,*>Outro,*>Outro,*>Outro,*>Outro,*>Outro,*>Outro,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
I,F:maj,I,F:maj,A,,,8.871,1
I,F:maj,I,F:maj,A,,,11.713,1
V,C:maj,V,C:maj,G,,,14.625,1
I,F:maj,I,F:maj,A,,,20.361,1
I,F:maj,I,F:maj,F,,,27.513,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
I,F:maj,I,F:maj,A,,,34.601,1
I,F:maj,I,F:maj,A,,,37.455,1
IV,B-:maj,IVb,B-:maj/3,F,,,38.867,1
V,C:maj,V,C:maj,A,,,43.074,1
IV,B-:maj,IVb,B-:maj/3,f,,,45.938,1
I,F:maj,I,F:maj,A,,,48.761,1
IV,B-:maj,IVb,B-:maj/3,F,,,50.137,1
I,F:maj,I,F:maj,A,,,54.377,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
I,F:maj,I,F:maj,A,,,62.881,1
I,F:maj,I,F:maj,A,,,65.708,1
V,C:maj,V,C:maj,G,,,68.593,1
I,F:maj,I,F:maj,A,,,74.281,1
I,F:maj,I,F:maj,F,,,81.252,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
I,F:maj,I,F:maj,A,,,89.634,1
IV,B-:maj,IVb,B-:maj/3,F,,,91.009,1
I,F:maj,I,F:maj,A,,,92.378,1
IV,B-:maj,IVb,B-:maj/3,F,,,93.770,1
IV,B-:maj,IVb,B-:maj/3,F,,,99.161,1
I,F:maj,I,F:maj,A,,,100.529,1
ii,G:min,IVb,B-:maj/3,d,,,101.853,1
IV,B-:maj,IVb,B-:maj/3,f,,,105.956,1
V,C:maj,V,C:maj,e,,,107.321,1
I,F:maj,I,F:maj,d,,,108.682,1
I,F:maj,I,F:maj,A,,,111.421,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
I,F:maj,I,F:maj,A,,,122.858,1
I,F:maj,I,F:maj,A,,,125.622,1
V,C:maj,V,C:maj,G,,,128.383,1
I,F:maj,I,F:maj,A,,,133.960,1
I,F:maj,I,F:maj,F,,,140.809,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
V,C:maj,V,C:maj,d,,,147.824,1
I,F:maj,I,F:maj,A,,,149.185,1
I,F:maj,I,F:maj,A,,,154.737,1
ii,G:min,IVb,B-:maj/3,d,,,158.898,1
V,C:maj,V,C:maj,A,,,160.277,1
I,F:maj,I,F:maj,d,,,165.841,1
I,F:maj,I,F:maj,A,,,171.289,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
I,F:maj,I,F:maj,A,,,184.953,1
I,F:maj,I,F:maj,A,,,187.736,1
V,C:maj,V,C:maj,G,,,190.545,1
I,F:maj,I,F:maj,A,,,196.161,1
I,F:maj,I,F:maj,F,,,202.989,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
V,C:maj,V,C:maj,c,,,249.230,1
IV,B-:maj,IVb,B-:maj/3,F,,,257.128,1
I,F:maj,I,F:maj,A,,,258.497,1
I,F:maj,I,F:maj,A,,,261.083,1
V,C:maj,V,C:maj,A,,,266.233,1
V,C:maj,V,C:maj,e,,,270.305,1
IV,B-:maj,IVb,B-:maj/3,F,,,272.907,1
IV,B-:maj,IVb,B-:maj/3,F,,,275.567,1
I,F:maj,I,F:maj,A,,,279.546,1
IV,B-:maj,IVb,B-:maj/3,F,,,280.865,1
I,F:maj,I,F:maj,A,,,282.210,1
I,F:maj,I,F:maj,A,,,284.825,1
V,C:maj,V,C:maj,A,,,287.313,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
I,F:maj,I,F:maj,c,,,292.625,1
I,F:maj,I,F:maj,A,,,295.305,1
V,C:maj,V,C:maj,G,,,298.033,1
I,F:maj,I,F:maj,A,,,303.473,1
V,C:maj,V,C:maj,G,,,308.921,1
I,F:maj,I,F:maj,F,,,310.297,1
*>Outro,*>Outro,*>Outro,*>Outro,*>Outro,,,*>Outro,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
I,E-:maj,I,E-:maj,G,,,15.987,1
V7,B-:7,V,B-:maj,e-,,,19.110,1
IVm7,A-:7,IV,A-:maj,d-,,,20.652,1
I,E-:maj,I,E-:maj,E-,,,22.181,1
IVm7,A-:7,IV,A-:maj,e-,,,31.354,1
I,E-:maj,I,E-:maj,G,,,34.444,1
V7,B-:7,V,B-:maj,e-,,,37.548,1
IVm7,A-:7,IV,A-:maj,d-,,,39.076,1
I,E-:maj,I,E-:maj,E-,,,40.604,1
IVm7,A-:7,IV,A-:maj,g-,,,49.795,1
IVm7,A-:7,IV,A-:maj,d-,,,57.460,1
I,E-:maj,I,E-:maj,E-,,,59.007,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
IVm7,A-:7,IV,A-:maj,e-,,,68.296,1
I,E-:maj,I,E-:maj,e-,,,71.441,1
V7,B-:7,V,B-:maj,e-,,,74.540,1
IVm7,A-:7,IV,A-:maj,d-,,,76.100,1
I,E-:maj,I,E-:maj,B-,,,77.648,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
IVm7,A-:7,IV,A-:maj,e-,,,105.900,1
V7,B-:7,V,B-:maj,e-,,,112.212,1
IVm7,A-:7,IV,A-:maj,d-,,,113.732,1
I,E-:maj,I,E-:maj,E-,,,115.274,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
IVm7,A-:7,IV,A-:maj,e-,,,124.656,1
I,E-:maj,I,E-:maj,e-,,,127.765,1
V7,B-:7,V,B-:maj,e-,,,130.916,1
IVm7,A-:7,IV,A-:maj,d-,,,132.470,1
I,E-:maj,I,E-:maj,B-,,,134.020,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
V7,B-:7,V,B-:maj,e-,,,149.820,1
IVm7,A-:7,IV,A-:maj,e-,,,151.404,1
I,E-:maj,I,E-:maj,c,,,152.955,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
IVm7,A-:7,IV,A-:maj,e-,,,162.516,1
I,E-:maj,I,E-:maj,e-,,,165.636,1
V7,B-:7,V,B-:maj,e-,,,168.820,1
IVm7,A-:7,IV,A-:maj,d-,,,170.392,1
I,E-:maj,I,E-:maj,B-,,,171.980,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
IV,C:maj,IV,C:maj,E,,,.,1
I,G:maj,I,G:maj,D,,,11.651,1
I,G:maj,I,G:maj,BB,,,18.008,1
I,G:maj,I,G:maj,GG,,,30.077,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
V,D:maj,V,D:maj,D,,,32.413,1
IV,C:maj,IV,C:maj,G,,,34.685,1
I,G:maj,I,G:maj,E,,,.,1
V,D:maj,V,D:maj,D,,,36.981,1
IV,C:maj,IV,C:maj,G,,,39.270,1
I,G:maj,I,G:maj,E,,,.,1
V,D:maj,V,D:maj,C,,,.,1
I,G:maj,I,G:maj,BB,,,45.045,1
V,D:maj,V,D:maj,AA,,,.,1
I,G:maj,I,G:maj,GG,,,47.343,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
V,D:maj,V,D:maj,D,,,65.701,1
IV,C:maj,IV,C:maj,G,,,67.988,1
I,G:maj,I,G:maj,E,,,.,1
V,D:maj,V,D:maj,D,,,70.286,1
IV,C:maj,IV,C:maj,G,,,72.570,1
I,G:maj,I,G:maj,E,,,.,1
V,D:maj,V,D:maj,C,,,.,1
I,G:maj,I,G:maj,BB,,,78.298,1
V,D:maj,V,D:maj,AA,,,.,1
I,G:maj,I,G:maj,GG,,,80.576,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
IV,C:maj,IV,C:maj,E,,,.,1
I,G:maj,I,G:maj,D,,,85.149,1
V,D:maj,V,D:maj,AA,,,.,1
I,G:maj,I,G:maj,GG,,,91.445,1
IV,C:maj,IV,C:maj,E,,,.,1
I,G:maj,I,G:maj,D,,,.,1
V,D:maj,V,D:maj,C,,,.,1
I,G:maj,I,G:maj,BB,,,104.629,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
V,D:maj,V,D:maj,D,,,106.935,1
IV,C:maj,IV,C:maj,G,,,109.221,1
I,G:maj,I,G:maj,E,,,.,1
V,D:maj,V,D:maj,D,,,111.493,1
IV,C:maj,IV,C:maj,G,,,113.805,1
I,G:maj,I,G:maj,E,,,.,1
I,G:maj,I,G:maj,BB,,,119.486,1
V,D:maj,V,D:maj,AA,,,.,1
I,G:maj,I,G:maj,GG,,,121.741,1
V,D:maj,V,D:maj,D,,,124.013,1
IV,C:maj,IV,C:maj,G,,,126.302,1
I,G:maj,I,G:maj,E,,,.,1
V,D:maj,V,D:maj,D,,,128.565,1
IV,C:maj,IV,C:maj,G,,,130.829,1
I,G:maj,I,G:maj,E,,,.,1
I,G:maj,I,G:maj,BB,,,136.485,1
V,D:maj,V,D:maj,AA,,,.,1
I,G:maj,I,G:maj,GG,,,138.765,1
*>Coda,*>Coda,*>Coda,*>Coda,*>Coda,,,*>Coda,1
I,G:maj,I,G:maj,BB,,,144.453,1
V,D:maj,V,D:maj,AA,,,.,1
*>Fadeout,*>Fadeout,*>Fadeout,*>Fadeout,*>Fadeout,,,*>Fadeout,1
I,G:maj,I,G:maj,GG,,,146.717,1
V,D:maj,V,D:maj,AA,,,.,1
I,G:maj,I,G:maj,GG,,,148.984,1
I,G:maj,I,G:maj,GG,,,151.237,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
IV,A-:maj,IV,A-:maj,d-,,,8.687,1
V,B-:maj,V,B-:maj,d-,,,14.533,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
V,B-:maj,V7,B-:7,G,,,23.243,1
I,E-:maj,I,E-:maj,A-,,,26.168,1
IV,A-:maj,IV,A-:maj,B-,,,29.076,1
V,B-:maj,V,B-:maj,c,,,31.959,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
I,E-:maj,I,E-:maj,c,,,34.858,1
IV,A-:maj,IV,A-:maj,d-,,,40.637,1
V,B-:maj,V,B-:maj,d-,,,46.408,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
V,B-:maj,V7,B-:7,G,,,55.103,1
I,E-:maj,I,E-:maj,B-,,,58.000,1
IV,A-:maj,IV,A-:maj,c,,,60.888,1
V,B-:maj,V,B-:maj,c,,,63.753,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
I,E-:maj,I,E-:maj,c,,,66.643,1
IV,A-:maj,IV,A-:maj,d-,,,72.455,1
V,B-:maj,V,B-:maj,d-,,,78.220,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
V,B-:maj,V7,B-:7,G,,,86.875,1
I,E-:maj,I,E-:maj,A-,,,89.809,1
IV,A-:maj,IV,A-:maj,B-,,,92.647,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
I,E-:maj,I,E-:maj,B-,,,98.428,1
IV,A-:maj,IV,A-:maj,d-,,,104.213,1
V,B-:maj,V,B-:maj,d-,,,110.012,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
V,B-:maj,V7,B-:7,G,,,118.675,1
I,E-:maj,I,E-:maj,A-,,,121.563,1
IV,A-:maj,IV,A-:maj,B-,,,124.438,1
V,B-:maj,V,B-:maj,c,,,127.302,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
I,E-:maj,I,E-:maj,c,,,130.117,1
IV,A-:maj,IV,A-:maj,d-,,,135.864,1
V,B-:maj,V,B-:maj,d-,,,141.623,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
I,G:maj,I,G:maj,g,peo-,1,5.283,1
I,G:maj,I,G:maj,g,things,1,15.325,1
I,G:maj,I,G:maj,G,hope,1,20.317,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
I,G:maj,I,G:maj,G,dont,1,35.239,1
I,G:maj,I,G:maj,g,not,1,40.322,1
I,G:maj,I,G:maj,G,tal-,1,45.299,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
I,G:maj,I,G:maj,d,-tio-,1,50.250,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
I,A:maj,I,A:maj,A,dont,1,85.033,1
I,A:maj,I,A:maj,a,not,1,89.944,1
I,A:maj,I,A:maj,A,tal-,1,94.803,1
*>Chb,*>Chb,*>Chb,*>Chb,*>Chb,*>Chb,*>Chb,*>Chb,1
I,A:maj,I,A:maj,A,-tio-,1,107.232,1
*>BP,*>BP,*>BP,*>BP,*>BP,*>BP,*>BP,*>BP,1
I,B-:maj,I,B-:maj,B-,-tio-,1,112.208,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
I,B-:maj,I,B-:maj,b-,peo-,1,114.696,1
I,B-:maj,I,B-:maj,b-,things,1,124.565,1
I,B-:maj,I,B-:maj,d-,hope,1,129.581,1
*>Chb,*>Chb,*>Chb,*>Chb,*>Chb,*>Chb,*>Chb,*>Chb,1
I,B-:maj,I,B-:maj,b-,-tio-,1,134.52,1
*>Coda,*>Coda,*>Coda,*>Coda,*>Coda,*>Coda,*>Coda,*>Coda,1
ii7b,D:min7/b3,V7d/IV,C:7/b7,f,-tio-,1,174.312,1
ii7b,D:min7/b3,V7d/IV,C:7/b7,f,-tio-,1,176.960,1
ii7b,D:min7/b3,V7d/IV,C:7/b7,f,-tio-,1,179.656,1
I,C:maj,I,C:maj,c,-tio-,1,183.672,1
I,C:maj,I,C:maj,cc,-tio-,1,186.360,1
I,C:maj,I,C:maj,c,-tio-,1,189.040,1
I,C:maj,I,C:maj,c,-tio-,1,191.704,1
*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
Vb,E:maj/3,Vb,E:maj/3,e,know,1,.,1
Ic,A:maj/5,Ic,A:maj/5,c#,saw,1,.,1
V,E:maj,V,E:maj,B,-ven,0,22.516,1
Vb,E:maj/3,Vb,E:maj/3,e,be,1,.,1
Ic,A:maj/5,Ic,A:maj/5,c#,saw,1,.,1
V,E:maj,V,E:maj,B,-ven,0,35.003,1
*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,1
V11,"E:(1,3,5,b7,9,11)",V11,"E:(1,3,5,b7,9,11)",E,_,.,53.786,1
*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,1
I,A:maj,I,A:maj,A,-ven,0,56.881,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
Vb,E:maj/3,Vb,E:maj/3,e,hold,1,.,1
Ic,A:maj/5,Ic,A:maj/5,c#,saw,1,.,1
V,E:maj,V,E:maj,B,-ven,0,78.749,1
Vb,E:maj/3,Vb,E:maj/3,e,help,1,.,1
Ic,A:maj/5,Ic,A:maj/5,c#,saw,1,.,1
V,E:maj,V,E:maj,B,-ven,0,91.260,1
*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,1
V11,"E:(1,3,5,b7,9,11)",V11,"E:(1,3,5,b7,9,11)",E,_,.,110.039,1
*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,1
I,A:maj,I,A:maj,A,-ven,0,113.147,1
*>Bridge2,*>Bridge2,*>Bridge2,*>Bridge2,*>Bridge2,*>Bridge2,*>Bridge2,*>Bridge2,1
Ib,G:maj/3,iii,B:min,d,bring,1,.,1
ii,A:min,ii,A:min,A,_,.,128.730,1
Vb,D:maj/3,Vb,D:maj/3,d,bend,1,.,1
I,G:maj,I,G:maj,B,_,.,131.895,1
Ib,G:maj/3,iii,B:min,d,break,1,.,1
ii,A:min,ii,A:min,A,_,.,141.278,1
Vb,D:maj/3,Vb,D:maj/3,d,begg-,1,.,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,1
V11,"E:(1,3,5,b7,9,11)",V11,"E:(1,3,5,b7,9,11)",E,_,.,191.291,1
*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,1
I,A:maj,I,A:maj,A,-ven,0,194.374,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
Vb,E:maj/3,Vb,E:maj/3,e,know,1,.,1
Ic,A:maj/5,Ic,A:maj/5,c#,saw,1,.,1
V,E:maj,V,E:maj,B,-ven,0,216.271,1
Vb,E:maj/3,Vb,E:maj/3,e,be,1,.,1
Ic,A:maj/5,Ic,A:maj/5,c#,saw,1,.,1
V,E:maj,V,E:maj,B,-ven,0,228.735,1
*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,*>Bridge,1
V11,"E:(1,3,5,b7,9,11)",V11,"E:(1,3,5,b7,9,11)",E,_,.,247.531,1
*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,*>Link,1
I,A:maj,I,A:maj,A,-ven,0,250.610,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
V,A:maj,V,A:maj,A,-onba-,0,27.477,1
I,D:maj,I,D:maj,F#,blo-,1,38.299,1
V,A:maj,V,A:maj,E,blo-,1,.,1
I,D:maj,I,D:maj,F#,blo-,1,90.975,1
V,A:maj,V,A:maj,E,blo-,1,.,1
V,A:maj,V,A:maj,B,must,0,111.504,1
V,A:maj,V,A:maj,A,one,0,122.560,1
I,D:maj,I,D:maj,F#,blo-,1,144.232,1
V,A:maj,V,A:maj,E,blo-,1,.,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
-VI,C-:maj,-VIm7,C-:7,e-,,,106.396,1
i,E-:min,i,E-:min,g-,,,111.929,1
*>Instrumental,*>Instrumental,*>Instrumental,*>Instrumental,*>Instrumental,,,*>Instrumental,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
i,E-:min,i,E-:min,A-,,,205.076,1
-VI,C-:maj,-VIm7,C-:7,g-,,,210.475,1
*>Coda,*>Coda,*>Coda,*>Coda,*>Coda,,,*>Coda,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
IV7,A-:maj7,IV,A-:maj,G,,,10.424,1
iii,G:min,iii,G:min,G,,,14.175,1
IV,A-:maj,IV,A-:maj,F,,,21.592,1
V,B-:maj,V,B-:maj,G,,,25.318,1
vi,C:min,vi,C:min,F,,,29.010,1
ii,F:min,ii,F:min,c,,,32.726,1
V,B-:maj,V,B-:maj,E-,,,36.479,1
vi,C:min,vi,C:min,E-,,,47.687,1
IV,A-:maj,IV,A-:maj,F,,,53.367,1
ii,F:min,ii,F:min,c,,,64.529,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
vi,C:min,vi,C:min,c,,,73.957,1
ii,F:min,ii,F:min,E-,,,83.278,1
ii7b,F:min7/b3,IV,A-:maj,c,,,92.661,1
Ib,E-:maj/3,Ib,E-:maj/3,B-,,,96.527,1
ii7b,F:min7/b3,IV,A-:maj,F,,,98.471,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
IV7,A-:maj7,IV,A-:maj,G,,,115.439,1
iii,G:min,iii,G:min,G,,,119.141,1
V,B-:maj,V,B-:maj,F,,,141.364,1
IV7,A-:maj7,IV,A-:maj,G,,,146.986,1
IV,A-:maj,IV,A-:maj,G,,,158.244,1
IV,A-:maj,IV,A-:maj,E-,,,171.419,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
vi,C:min,vi,C:min,c,,,178.928,1
ii,F:min,ii,F:min,E-,,,188.246,1
ii7b,F:min7/b3,IV,A-:maj,c,,,197.609,1
Ib,E-:maj/3,Ib,E-:maj/3,B-,,,201.460,1
ii7b,F:min7/b3,IV,A-:maj,F,,,203.379,1
ii7b,F:min7/b3,IV,A-:maj,c,,,216.532,1
Ib,E-:maj/3,Ib,E-:maj/3,B-,,,220.457,1
ii7b,F:min7/b3,IV,A-:maj,F,,,222.340,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
IV,G:maj,IV,G:maj,F,,,25.268,1
V,A:maj,V,A:maj,F,,,36.756,1
*>BP,*>BP,*>BP,*>BP,*>BP,,,*>BP,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
III,F#:maj,III,F#:maj,F#,,,67.332,1
V,A:maj,V,A:maj,E,,,71.126,1
*>BP,*>BP,*>BP,*>BP,*>BP,,,*>BP,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
III,F#:maj,III,F#:maj,F#,,,101.756,1
V,A:maj,V,A:maj,E,,,105.572,1
*>BP,*>BP,*>BP,*>BP,*>BP,,,*>BP,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
III,F#:maj,III,F#:maj,F#,,,170.375,1
IV,G:maj,IV,G:maj,G,,,172.284,1
V,A:maj,V,A:maj,E,,,174.185,1
*>BP,*>BP,*>BP,*>BP,*>BP,,,*>BP,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
I,D:maj,I,D:maj,F,,,195.131,1
III,F#:maj,III,F#:maj,F#,,,208.470,1
V,A:maj,V,A:maj,E,,,212.272,1
I,D:maj,I,D:maj,D,,,218.016,1
*>Fadeout,*>Fadeout,*>Fadeout,*>Fadeout,*>Fadeout,,,*>Fadeout,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
IV,B-:maj,IV,B-:maj,ff,,,3.598,1
I,F:maj,I,F:maj,G,,,21.441,1
IV,B-:maj,IV,B-:maj,ff,,,27.482,1
V7,C:7,V,C:maj,c,,,39.446,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
I,F:maj,I,F:maj,d,,,63.390,1
V7,C:7,V,C:maj,G,,,69.454,1
I,F:maj,I,F:maj,G,,,75.357,1
IV,B-:maj,IV,B-:maj,d,,,81.360,1
Ic,F:maj/5,I,F:maj,a,,,87.279,1
I,F:maj,I,F:maj,f,,,93.348,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
IV,B-:maj,IV,B-:maj,ff,,,99.388,1
I,F:maj,I,F:maj,G,,,117.418,1
IV,B-:maj,IV,B-:maj,ff,,,123.522,1
V7,C:7,V,C:maj,c,,,135.485,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
V7/IV,F:7,V7/IV,F:7,A,,,150.655,1
IV,B-:maj,IV,B-:maj,ff,,,153.641,1
I,F:maj,I,F:maj,ff,,,159.661,1
V7,C:7,V,C:maj,g,,,165.644,1
I,F:maj,I,F:maj,a,,,171.614,1
V7/IV,F:7,V7/IV,F:7,A,,,174.589,1
IV,B-:maj,IV,B-:maj,dd,,,177.590,1
Ic,F:maj/5,I,F:maj,aa,,,183.518,1
V7,C:7,V,C:maj,d,,,186.537,1
I,F:maj,I,F:maj,gg,,,189.486,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
IV,B-:maj,IV,B-:maj,ff,,,195.551,1
V7,C:7,V,C:maj,c,,,207.408,1
I,F:maj,I,F:maj,G,,,213.371,1
