**harm,**harte,**harm_2,**harte_2,**kern,**silbe,**stress,**timestamp,**duration
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
IV,A:maj,IV,A:maj,A,_,.,54.013,1
I,E:maj,I,E:maj,e,hey,1,56.706,1
V,B:maj,V,B:maj,d,right,1,59.340,1
I,E:maj,I,E:maj,e,hey,1,72.858,1
V,B:maj,V,B:maj,d,hey,1,75.522,1
*>Vinst,*>Vinst,*>Vinst,*>Vinst,*>Vinst,*>Vinst,*>Vinst,*>Vinst,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
I,E:maj,I,E:maj,e,hey,1,121.442,1
V,B:maj,V,B:maj,d,right,1,124.122,1
V,B:maj,V,B:maj,d,right,1,140.314,1
V,B:maj,.,.,e,tell,1,.,1
I,E:maj,I,E:maj,e,right,1,153.793,1
I,E:maj,I,E:maj,e,right,1,170.074,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,,,*>Intro,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,,,*>Chorus,1
i,E-:min,i,E-:min,a-,,,16.588,1
*>Refrain,*>Refrain,*>Refrain,*>Refrain,*>Refrain,,,*>Refrain,1
V,B-:maj,V,B-:maj,b-,,,25.267,1
i,E-:min,i,E-:min,e-,,,29.643,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
v,B-:min,v,B-:min,a-,,,49.492,1
v,B-:min,v,B-:min,d-,,,53.906,1
v,B-:min,v,B-:min,b-,,,58.413,1
v,B-:min,v,B-:min,a-,,,67.211,1
*>Refrain,*>Refrain,*>Refrain,*>Refrain,*>Refrain,,,*>Refrain,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,,,*>Verse,1
v,B-:min,v,B-:min,a-,,,93.980,1
v,B-:min,v,B-:min,A-,,,98.417,1
v,B-:min,v,B-:min,a-,,,102.811,1
v,B-:min,v,B-:min,g-,,,107.256,1
i,E-:min,i,E-:min,a-,,,113.967,1
*>Refrain,*>Refrain,*>Refrain,*>Refrain,*>Refrain,,,*>Refrain,1
i,E-:min,i,E-:min,e-,,,136.291,1
*>Outro,*>Outro,*>Outro,*>Outro,*>Outro,,,*>Outro,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
IV,G-:maj,IV,G-:maj,e-,be,1,39.399,1
I,D-:maj,I,D-:maj,e-,be,1,44.171,1
IV,G-:maj,IV,G-:maj,f,-ty,0,58.470,1
I,D-:maj,I,D-:maj,e-,be,1,63.258,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
I,D-:maj,I,D-:maj,d-,-ing,0,72.802,1
