**harm,**harte,**timestamp,**phrase,**leadinstrument,**kern,**silbe,**kern_2,**silbe_2,**duration,**rhyme,**valence,**arousal,**rms,**kern_3,**silbe_3,**kern_4,**silbe_4,**kern_5,**silbe_5,**harm_2,**harte_2,**stress
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,1.0,,,,,,,,,,,,,
1i7,G:min7,92.886,newline,voice,G,Get,8d,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,95.164,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,97.443,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,99.721,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,102,newline,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,104.258,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,106.517,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,108.776,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,111.035,newline,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,113.301,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,115.568,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
1i7,G:min7,117.834,.,voice,G,Get,8f,Get,8.0,,,,,,,,,,,,,
*>Letter>B2,*>Letter>B2,*>Letter>B2,*>Letter>B2,*>Letter>B2,*>Letter>B2,*>Letter>B2,*>Letter>B2,*>Letter>B2,1.0,,,,,,,,,,,,,
*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,*>Label>Instrumental,1.0,,,,,,,,,,,,,
1i7,G:min7,120.101,newline,trumpet,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,122.37,.,trumpet,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,124.639,.,trumpet,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,126.908,.,trumpet,r,.,1r,.,1.0,,,,,,,,,,,,,
*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,*>Letter>D,1.0,,,,,,,,,,,,,
*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,1.0,,,,,,,,,,,,,
1i7,G:min7,129.178,newline,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,131.429,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,133.68,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,135.93,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,138.181,newline,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,140.425,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,142.668,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,144.911,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,147.155,newline,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,149.4,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,151.646,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,153.892,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,156.138,newline,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,158.346,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,160.555,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,162.763,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,164.972,newline,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,167.195,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,169.417,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,171.64,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,173.863,newline,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,175.852,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,177.841,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,179.831,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1i7,G:min7,181.82,.,bass,r,.,1r,.,1.0,,,,,,,,,,,,,
1r;,N,183.809,.,r,r,.,1r,.,1.0,,,,,,,,,,,,,
1r;,N,186.201,.,r,r,.,1r,.,1.0,,,,,,,,,,,,,
1r;,N,0,.,r,r,.,,,1.0,.,89 55 60 90,78 58 60 15,7.767,,,,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,1.0,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,,,,,,,
*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,,,1.0,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,,,,,,,,,
1I,G:maj,0.163,newline,guitar,r,.,,,1.0,.,75 101 39 63,72 96 60 0,8.584,,,,,,,,,
1I,G:maj,1.581,.,guitar,r,.,,,2.0,.,62 63 60 63,62 58 60 60,60.704,,,,,,,,,
